ME,MAE,MPE,MAPE,SD
36.08108108108108,36.08108108108108,36.08108108108108,36.08108108108108,15.045826579001586
-3.7540794731242104,4.921173771370459,-0.11330162232209214,0.14727228944508808,6.001879070442842
-5.459425139478032,6.6921577038075695,-0.15660819428121442,0.220679899936328,6.394669952343078
-6.413542414448463,7.486516458670675,-0.20425407342330285,0.2491013491234474,7.379046331108817
-7.789750456433335,8.827049597528227,-0.2396936784369567,0.29820236343632184,6.861145090613524
-8.58957011823801,9.277138028126595,-0.2883820909918165,0.3180233013045378,7.000193649230983
-9.165853692738152,9.67842200352014,-0.2653441026294003,0.2918823215716463,6.669463286867421
-11.062338852135293,11.687626779352055,-0.3311023124803029,0.36373692374332744,8.032088461369552
-15.294431638540585,15.458697807789887,-0.4385638969907224,0.4581269272735272,9.456397329522881
-17.518319754659352,18.287735395367918,-0.4496962203958802,0.5307434730497164,11.62003211236053
-24.10941252002228,24.39670688639761,-0.6657631451807127,0.6960434527514315,11.405059484477155
-30.377439769665084,30.439972929535195,-0.815494614329053,0.8244279228819258,13.878096155890372
-32.70905493575798,32.70905493575798,-0.8861844859752184,0.8861844859752184,14.42882175342334
