ROH0,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
4,6.010266666666658,5.89443333333333,6.303704761904759,6.477500000000002,6.83696666666667,7.242333333333333,7.024319047619044,13.672800000000004,19.292657142857145,28.4358316017316,22.32198327228326,32.982533210373475
5,7.239566666666664,7.3851666666666675,7.369866666666669,7.3937,7.497366666666668,7.7984333333333336,7.44473333333333,12.93616666666667,17.343314285714282,28.79576666666665,37.935221468727335,39.455037272072396
15,12.738133333333337,12.700133333333335,12.470033333333323,12.390933333333335,12.133766666666663,11.555800000000001,7.619666666666664,13.395466666666675,15.9907,20.744746031746033,17.391216006216016,36.78590383567005
37,39.905199999999994,39.52669999999999,35.079266666666655,34.9709,36.2962,37.076200000000014,35.066333333333326,39.26586666666665,37.14598333333334,48.99602698412699,47.513241125541136,44.92063148781469
13,14.446200000000005,14.555366666666666,14.430233333333334,14.554866666666666,15.56793333333333,16.87366666666667,18.479299999999995,28.444800000000015,34.45306666666666,42.49138095238099,28.47288333333332,39.455037272072396
23,27.08376666666667,26.99593333333333,27.107300000000006,26.26313333333335,25.010900000000003,26.02156666666667,25.776666666666664,38.93113333333332,44.2252619047619,47.081538095238116,28.47288333333332,39.455037272072396
38,43.48106666666667,44.05506666666663,38.93403333333336,42.01283333333329,43.05250000000002,43.379466666666666,43.198333333333316,48.256000000000014,46.74563333333336,52.80181904761908,50.822412626262626,39.455037272072396
43,42.772533333333314,45.693200000000004,48.462233333333344,49.53506666666664,50.46606666666667,49.36183333333333,41.25786666666668,44.94459999999999,41.25603809523808,43.88199523809525,40.813476190476216,36.78590383567005
37,34.40263333333334,35.830766666666655,34.641433333333346,34.94109999999999,38.2805,37.27493333333335,33.09989999999999,25.82303333333333,24.622528571428568,27.311104761904765,41.619742132703905,39.455037272072396
32,29.95036666666667,33.14313333333332,32.87329999999999,33.15306666666666,34.326033333333356,32.97986666666668,35.68036666666667,38.22229999999997,38.56026666666668,35.34544761904764,35.18760764790767,36.78590383567005
33,35.76959999999999,34.38363333333333,32.4271,29.042966666666665,29.381133333333338,26.072833333333335,27.784266666666664,35.3519,35.29461666666666,28.11925555555555,35.18760764790767,36.78590383567005
48,52.30973333333337,52.519933333333356,52.436833333333325,51.28843333333335,48.93066666666669,50.28093333333338,54.073566666666686,52.528566666666656,52.34240000000002,54.4599,42.213933333333344,36.78590383567005
48,51.58773333333335,52.32863333333337,52.098000000000006,50.970266666666674,50.50106666666665,47.445700000000016,48.130666666666656,54.55439999999998,50.02366666666669,50.57103333333335,46.36321428571431,46.09484834407668
40,42.14566666666665,44.74346666666668,44.9309666666667,44.76493333333333,45.00920000000002,46.25836666666664,46.19260000000002,37.12363333333333,42.3442761904762,43.921552380952406,35.16351306961013,36.78590383567005
48,46.227866666666664,46.31746666666668,45.00706666666668,44.3362,43.95340000000002,43.354399999999984,43.53253333333332,50.25016666666665,50.15016666666667,46.03431428571428,35.92792366522365,36.77451304738655
30,27.913233333333352,27.17916666666667,28.19796666666668,28.468799999999984,28.914833333333352,27.513099999999984,20.768066666666677,16.27716666666668,17.812,23.75981666666666,37.06068148518147,32.982533210373475
22,23.171466666666657,23.705399999999994,23.637433333333338,23.780066666666666,24.318433333333356,24.127333333333336,24.52363333333334,27.257733333333316,21.80516666666666,24.23283968253969,23.399790548340548,32.982533210373475
68,67.7414333333333,67.16233333333335,66.34553333333334,67.11606666666667,66.95226666666667,64.51443333333332,61.696033333333375,58.20526666666669,56.03973333333335,52.704366666666694,42.741940476190464,44.92063148781469
58,54.17249999999999,54.04953333333334,54.0998,54.02570000000001,54.804133333333404,57.38840000000004,54.110166666666686,47.609166666666674,45.619633333333326,40.27715714285715,41.44927972582972,36.78590383567005
44,51.189933333333336,52.39373333333332,53.15929999999999,53.11600000000002,49.330233333333325,49.47796666666668,50.631066666666676,54.4220333333333,55.35509999999998,56.139566666666646,48.9578380952381,32.982533210373475
51,53.19439999999997,52.72456666666668,52.7575666666666,48.66936666666665,46.9197,49.45096666666665,48.56396666666668,51.132400000000025,51.92973333333334,47.812466666666666,35.18760764790767,36.78590383567005
44,39.56966666666666,36.71056666666666,30.588033333333353,31.192199999999982,31.841433333333345,31.49383333333333,33.112200000000016,42.20290000000001,43.515833333333354,40.12090952380952,38.009704761904764,32.982533210373475
43,45.507266666666666,44.955900000000035,49.04963333333332,49.70993333333335,49.63563333333337,51.60543333333336,52.23693333333334,51.451833333333326,54.50675714285712,52.79522380952378,40.437866666666686,39.93621342546343
56,59.15146666666667,57.988366666666636,57.164033333333336,54.33656666666665,50.429933333333366,45.33470000000001,44.50670000000003,48.464933333333356,43.44533333333333,46.37830555555557,17.391216006216016,36.78590383567005
29,29.961666666666677,32.06426666666668,32.93546666666669,34.612633333333356,36.25846666666667,36.61053333333334,37.640199999999986,36.298166666666674,39.540119047619044,34.54070952380954,35.18760764790767,36.78590383567005
41,38.12666666666669,36.53313333333332,36.145266666666664,36.17940000000001,36.91656666666667,36.911899999999996,37.77706666666666,46.23486666666669,49.126966666666654,48.53330000000002,40.92300209235209,36.78590383567005
43,39.27739999999999,39.20573333333333,40.169166666666676,44.3854666666667,44.89400000000002,45.64746666666665,45.60713333333333,50.003766666666685,52.22962380952381,42.292966666666665,48.62776666666667,39.93621342546343
28,30.74853333333334,33.72949999999998,34.49656666666668,34.00320000000002,35.100966666666665,35.79066666666668,35.06810000000001,38.63434761904761,41.39786428571426,47.285366666666675,40.00463009768013,41.58685219065919
50,51.97273333333334,52.45810000000001,54.16293333333335,55.37243333333335,54.97720000000002,57.410533333333376,53.8861,48.19310000000001,44.48249047619043,43.93710952380955,35.77633650793652,41.58685219065919
45,43.04193333333332,43.48453333333333,39.50310000000001,39.12976666666665,38.17333333333335,38.58886666666667,37.514266666666664,37.10703333333334,40.30633333333332,52.12459047619047,43.36526507936509,44.92063148781469
31,33.90269999999998,36.31770000000001,36.87613333333336,36.28303333333334,36.88746666666667,38.272866666666694,40.36819999999997,40.11013333333334,39.02340000000001,39.3838,42.431388888888875,44.26018299788126
20,22.8507,23.47506666666665,23.404500000000002,22.966066666666663,22.899800000000017,23.124600000000015,22.644633333333342,19.732899999999994,31.093214285714303,35.48653809523811,28.47288333333332,39.455037272072396
25,22.340599999999995,22.568033333333318,22.67853333333333,22.900600000000004,22.756466666666682,22.62496666666667,20.854300000000013,17.14343333333334,27.628366666666665,20.744746031746033,17.391216006216016,36.78590383567005
45,45.88030000000001,45.09296666666667,37.99100000000001,36.47829999999999,35.974399999999996,39.02189999999997,41.832899999999995,39.997200000000035,25.79156666666666,30.713631746031748,37.935221468727335,39.455037272072396
28,32.836766666666676,35.65433333333333,35.64813333333334,33.702099999999994,34.004399999999976,35.02326666666668,33.70543333333334,42.59956666666671,27.34184761904763,39.78516984126986,37.935221468727335,39.455037272072396
35,32.885000000000005,35.35349999999998,35.80266666666666,36.87353333333335,37.04356666666666,37.827666666666694,38.74836666666666,39.13933333333333,44.055499999999974,41.455404761904774,39.97389235209233,41.58685219065919
53,48.55946666666667,43.94886666666667,44.08843333333331,48.41540000000003,50.61666666666665,50.629233333333325,51.1629666666667,51.62979999999999,46.45456666666667,49.887066666666634,42.45544126984126,44.92063148781469
55,46.16403333333333,43.768399999999986,43.93479999999997,46.28236666666666,49.12396666666668,50.16196666666664,52.45673333333332,42.3613,39.28149999999998,36.82509761904761,46.89665634920637,41.58685219065919
39,38.78999999999999,37.679533333333346,37.54239999999998,37.386933333333346,36.922066666666666,39.21696666666671,40.64696666666668,37.841966666666664,41.45120000000002,41.4246,35.076323809523814,48.16520283605283
50,47.24716666666666,47.64180000000004,50.336399999999976,51.77543333333331,51.309566666666676,51.97316666666669,54.455066666666696,50.72560000000001,51.83556666666668,50.31426666666669,48.11880199245195,45.29954218544182
39,36.9671,38.39683333333333,39.398700000000005,43.49933333333333,44.558333333333366,45.28163333333333,45.064366666666665,49.34276666666667,46.37863333333335,46.981999999999985,44.52073333333334,46.09484834407668
58,60.66899999999998,61.169733333333326,62.44076666666665,62.55133333333336,60.27916666666667,59.73336666666667,60.77616666666666,62.885066666666674,65.37413333333333,66.85946666666665,67.32746666666671,57.374176190476135
42,41.58403333333335,37.229433333333326,35.79850000000001,36.34036666666666,34.61153333333334,36.11646666666667,36.453900000000026,43.69589999999998,45.51903333333334,41.32826190476188,35.92792366522365,36.77451304738655
38,37.906833333333346,38.74983333333333,40.25496666666665,41.15806666666666,41.295600000000036,40.338233333333314,43.565833333333316,45.43573333333336,47.33865238095237,43.16830274170273,40.727063816249085,41.58685219065919
37,37.31203333333331,37.07696666666664,38.25930000000002,41.579866666666646,41.84576666666665,43.65523333333329,44.27310000000002,46.48733333333334,44.80635238095235,38.48152857142856,30.199761391223163,36.77451304738655
43,44.673299999999976,45.33203333333334,44.92390000000004,45.83640000000002,47.37493333333336,47.3567,50.42403333333334,44.43343333333332,41.02577619047619,47.743666666666634,49.42145000000001,52.866715032452916
59,55.61503333333336,53.454666666666654,53.050866666666685,53.8121,54.13343333333334,50.770033333333345,51.9840666666667,52.847933333333344,47.989266666666616,46.85578095238094,45.63202380952383,46.09484834407668
16,22.914199999999997,24.05863333333333,24.08206666666666,23.359233333333332,23.63033333333335,23.923233333333332,23.991633333333343,27.61723333333332,31.218947619047636,19.45213333333334,28.47288333333332,39.455037272072396
22,22.417666666666673,23.00276666666666,23.2231,22.476,22.354766666666684,22.311633333333337,21.267633333333347,20.74936666666666,15.920877777777777,13.031328787878785,22.32198327228326,32.982533210373475
49,50.682500000000005,48.90506666666667,45.42333333333335,48.378633333333354,49.717766666666684,50.69336666666666,50.58683333333337,48.808500000000016,51.87805714285714,52.09243333333335,56.09473333333331,48.16520283605283
36,29.675066666666662,29.44186666666667,32.376833333333316,33.09986666666668,33.0421,36.2989,35.823666666666654,47.90706666666669,37.845349999999975,38.471966666666646,48.30158809523809,52.866715032452916
58,52.93240000000002,52.71133333333332,52.50179999999994,48.27930000000002,48.29936666666667,48.716933333333316,48.207433333333334,39.03216666666666,42.32809523809523,38.48152857142856,30.199761391223163,36.77451304738655
37,44.584766666666695,46.088766666666665,47.897000000000006,47.2514,46.75983333333332,49.557266666666656,43.15356666666666,41.40126666666669,34.13578333333333,34.393216666666675,35.18760764790767,36.78590383567005
61,54.910566666666675,53.323966666666664,52.872733333333315,52.423300000000026,52.72463333333334,54.012799999999984,53.65483333333331,48.933566666666664,49.201733333333316,57.453699999999984,54.69143333333332,68.47026428571425
42,41.49473333333334,41.66176666666667,43.2599,43.4125333333333,40.95456666666664,36.26303333333335,36.49330000000001,37.85286666666668,40.92975476190477,39.946269047619026,41.91323730158728,46.09484834407668
16,19.82236666666667,20.02166666666666,19.360499999999995,17.866938095238094,16.495033333333332,12.057999999999995,6.796585714285714,12.610409523809526,8.288634920634921,10.515333549783545,22.32198327228326,32.982533210373475
25,26.78653333333335,27.25133333333334,28.132200000000005,28.95649999999999,29.621300000000012,32.04733333333332,32.01549999999999,36.3918,30.106580952380966,32.12636255411254,22.32198327228326,32.982533210373475
41,42.09469999999998,42.96713333333332,43.24469999999999,44.033400000000015,44.71716666666667,46.34869999999999,45.38853333333334,47.24626666666668,40.49315714285714,40.887546969696984,40.813476190476216,36.78590383567005
62,60.811333333333344,60.42866666666668,60.71419999999998,60.48503333333333,59.828066666666636,59.58170000000002,60.86933333333334,52.389366666666625,46.190500000000014,42.1277619047619,40.88062575757576,36.77451304738655
43,47.88280000000002,44.532166666666654,45.290666666666716,46.15453333333335,47.620633333333345,47.189466666666675,49.47083333333335,44.137033333333314,41.92183333333333,49.275233333333325,52.4124,47.459781746031744
62,61.68386666666665,61.680199999999964,61.33813333333334,59.23250000000003,55.603799999999985,51.920766666666694,50.07966666666664,48.86059999999994,48.888199999999976,51.827066666666674,44.52073333333334,46.09484834407668
51,48.81873333333334,49.20896666666666,49.55443333333332,52.41693333333333,50.806566666666676,52.85213333333334,54.29933333333336,48.86756666666662,48.85843333333333,48.82296507936505,33.26259587079586,36.77451304738655
52,49.97696666666667,47.698900000000016,47.720800000000004,48.3128,50.510466666666666,48.74520000000002,49.20023333333336,44.945866666666646,46.825133333333326,49.11061111111108,41.772528571428545,36.78590383567005
28,30.034133333333333,30.334833333333343,32.15923333333335,33.33703333333332,35.09783333333335,34.83746666666668,35.15706666666666,35.75893333333332,34.368266666666656,38.372565079365096,32.4699712686007,36.77451304738655
13,15.714766666666662,16.158833333333334,17.395833333333332,16.78656666666668,14.447366666666662,14.195566666666672,14.558833333333325,15.135900000000008,29.20183333333334,32.638077777777774,40.00463009768013,41.58685219065919
14,15.448500000000001,15.979133333333333,17.257533333333335,16.5948,14.615099999999995,14.81676666666667,15.70969999999999,17.361266666666666,22.222957142857126,28.23603015873015,40.13525579192051,39.455037272072396
14,14.464299999999996,14.621166666666667,14.612166666666658,14.984600000000004,15.367366666666658,15.84783333333333,15.908833333333321,16.113900000000005,15.876133333333327,12.373562698412696,17.391216006216016,36.78590383567005
70,66.2996,64.5262666666667,62.48346666666665,60.49186666666666,60.19859999999996,60.24566666666671,60.18696666666668,48.33863333333333,50.26410000000002,43.96663333333333,44.46690089224496,41.58685219065919
39,32.56616666666667,35.996433333333336,37.991066666666676,38.226300000000016,38.44953333333334,38.32329999999999,39.233566666666704,40.79243333333334,37.6990761904762,40.80009841269841,33.000969841269836,39.455037272072396
41,36.84066666666667,33.99666666666667,31.46846666666666,29.72663333333334,29.827800000000014,28.907066666666676,25.790833333333328,29.430833333333315,38.00000000000001,39.2622015873016,44.60192173382171,44.92063148781469
32,34.648333333333326,34.77326666666666,33.80340000000001,33.70676666666665,35.16299999999999,32.66653333333333,32.57576666666668,25.933466666666657,33.31729999999999,40.2207777777778,45.37570293268824,41.58685219065919
12,12.83169999999999,13.096,13.436933333333325,13.381499999999996,13.567933333333338,14.465799999999998,15.504699999999998,12.25366666666667,16.6283365079365,22.412271428571433,39.72274891774893,36.77451304738655
30,26.44799999999998,24.389799999999987,24.876733333333334,26.83196666666666,28.09013333333334,25.59876666666666,26.0358,32.8529,34.53967619047618,32.81306666666665,35.77633650793652,41.58685219065919
71,60.12363333333332,58.337933333333325,58.083600000000004,58.18436666666664,57.81833333333334,56.57660000000002,55.66536666666664,42.32973333333334,45.37294761904763,45.001500000000014,37.06068148518147,32.982533210373475
